Game,Relation,They,Console,Year,Sales
super smash bros. for wii u,CHARACTER_IN,waluigi,Wii,2014,0.0
mario party 10,CHARACTER_IN,waluigi,WiiU,2015,1.58
super mario maker,CHARACTER_IN,waluigi,WiiU,2015,3.21
super mario maker,CHARACTER_IN,waluigi,WiiU,2016,3.21
mario tennis: ultra smash,CHARACTER_IN,waluigi,WiiU,2015,0.0
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,waluigi,3DS,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,waluigi,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,waluigi,"nintendo 3ds, wii u",2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,waluigi,"nintendo 3ds, arcade, wii u",2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,waluigi,"nintendo 3ds, wii u, arcade",2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,waluigi,"wii u, nintendo 3ds",2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,waluigi,Arcade,2016,0.8700000000000001
minecraft: wii u edition,CHARACTER_IN,waluigi,WiiU,2016,0.0
minecraft: wii u edition,CHARACTER_IN,waluigi,WiiU,2015,0.0
mario & sonic at the rio 2016 olympic games arcade edition,CHARACTER_IN,waluigi,Arcade,2016,0.0
mario party fushigi no challenge world,CHARACTER_IN,waluigi,Arcade,2016,0.0
mario party: star rush,CHARACTER_IN,waluigi,3DS,2016,0.3
mario sports superstars,CHARACTER_IN,waluigi,3DS,2017,0.0
mario kart 8 deluxe,CHARACTER_IN,waluigi,Switch,2017,0.0
minecraft: nintendo switch edition,CHARACTER_IN,waluigi,Switch,2017,0.0
hey! pikmin,CHARACTER_IN,waluigi,3DS,2017,0.0
mario + rabbids kingdom battle,CHARACTER_IN,waluigi,Switch,2017,0.0
mario party: the top 100,CHARACTER_IN,waluigi,3DS,2017,0.0
minecraft: new nintendo 3ds edition,CHARACTER_IN,waluigi,3DS,2018,0.0
minecraft: new nintendo 3ds edition,CHARACTER_IN,waluigi,3DS,2017,0.0
minecraft: bedrock edition,CHARACTER_IN,waluigi,Switch,2018,0.0
mario tennis aces,CHARACTER_IN,waluigi,Switch,2018,0.0
super mario party,CHARACTER_IN,waluigi,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,waluigi,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,waluigi,Switch,2020,0.0
super smash bros. ultimate,CHARACTER_IN,waluigi,Switch,2019,0.0
dr. mario world,CHARACTER_IN,waluigi,Mobile,2019,0.0
dr. mario world,CHARACTER_IN,waluigi,Mobile,2021,0.0
mario kart tour,CHARACTER_IN,waluigi,Mobile,2019,0.0
luigi's mansion 3,CHARACTER_IN,waluigi,Switch,2019,0.0
mario & sonic at the olympic games tokyo 2020,CHARACTER_IN,waluigi,Switch,2019,0.0
mario & sonic at the olympic games tokyo 2020,CHARACTER_IN,waluigi,"nintendo switch, arcade",2019,0.0
mario & sonic at the olympic games tokyo 2020 - arcade edition,CHARACTER_IN,waluigi,Arcade,2020,0.0
mario golf: super rush,CHARACTER_IN,waluigi,Switch,2021,0.0
mario party superstars,CHARACTER_IN,waluigi,Switch,2021,0.0
mario party superstars,CHARACTER_IN,waluigi,3DS,2017,0.0
mario strikers: battle league,CHARACTER_IN,waluigi,Switch,2022,0.0
super mario party jamboree,CHARACTER_IN,waluigi,Switch,2024,0.0
donkey kong country,CHARACTER_IN,cranky kong,Nintendo,1994,13.530000000000001
donkey kong country,CHARACTER_IN,cranky kong,GBC,2000,13.530000000000001
donkey kong country,CHARACTER_IN,cranky kong,GBA,2003,13.530000000000001
donkey kong country,CHARACTER_IN,cranky kong,SNES,1994,13.530000000000001
donkey kong land,CHARACTER_IN,cranky kong,GB,1995,3.91
donkey kong country 2: diddy's kong quest,CHARACTER_IN,cranky kong,Nintendo,1995,5.15
donkey kong country 2: diddy's kong quest,CHARACTER_IN,cranky kong,SNES,1995,5.15
donkey kong country 3: dixie kong's double trouble!,CHARACTER_IN,cranky kong,Nintendo,1996,3.51
donkey kong country 3: dixie kong's double trouble!,CHARACTER_IN,cranky kong,SNES,1996,3.51
donkey kong land iii,CHARACTER_IN,cranky kong,GB,1997,0.0
donkey kong 64,CHARACTER_IN,cranky kong,N64,1999,5.27
picross np vol. 8,CHARACTER_IN,cranky kong,SNES,2000,0.0
picross np vol. 8,CHARACTER_IN,cranky kong,Nintendo,2000,0.0
super smash bros. melee,CHARACTER_IN,cranky kong,GC,2001,0.0
donkey konga,CHARACTER_IN,cranky kong,GC,2003,1.15
donkey konga 2,CHARACTER_IN,cranky kong,GC,2004,0.39
donkey kong country 2,CHARACTER_IN,cranky kong,GBA,2004,1.23
dk: king of swing,CHARACTER_IN,cranky kong,GBA,2005,0.0
donkey konga 3 jp,CHARACTER_IN,cranky kong,GC,2005,0.0
donkey kong country 3,CHARACTER_IN,cranky kong,GBA,2005,0.77
donkey kong barrel blast,CHARACTER_IN,cranky kong,Wii,2007,1.24
dk: jungle climber,CHARACTER_IN,cranky kong,DS,2007,0.0
super smash bros. brawl,CHARACTER_IN,cranky kong,Wii,2008,0.0
donkey kong country returns,CHARACTER_IN,cranky kong,Wii,2010,8.33
donkey kong country returns 3d,CHARACTER_IN,cranky kong,3DS,2013,0.0
donkey kong country: tropical freeze,CHARACTER_IN,cranky kong,WiiU,2014,1.52
donkey kong country: tropical freeze,CHARACTER_IN,cranky kong,Switch,2018,1.52
super smash bros. for nintendo 3ds / wii u,CHARACTER_IN,cranky kong,"nintendo 3ds, wii u",2014,0.0
super smash bros. for nintendo 3ds / wii u,CHARACTER_IN,cranky kong,nintendo 3ds / wii u,2014,0.0
super smash bros. ultimate,CHARACTER_IN,cranky kong,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,cranky kong,Switch,2020,0.0
super smash bros. ultimate,CHARACTER_IN,cranky kong,Switch,2019,0.0
donkey kong country returns hd,CHARACTER_IN,cranky kong,Switch,2025,0.0
donkey kong country,CHARACTER_IN,funky kong,Nintendo,1994,13.530000000000001
donkey kong country,CHARACTER_IN,funky kong,GBC,2000,13.530000000000001
donkey kong country,CHARACTER_IN,funky kong,GBA,2003,13.530000000000001
donkey kong country,CHARACTER_IN,funky kong,SNES,1994,13.530000000000001
donkey kong country 2: diddy's kong quest,CHARACTER_IN,funky kong,Nintendo,1995,5.15
donkey kong country 2: diddy's kong quest,CHARACTER_IN,funky kong,SNES,1995,5.15
donkey kong land 2,CHARACTER_IN,funky kong,GB,1996,0.0
donkey kong country 3: dixie kong's double trouble!,CHARACTER_IN,funky kong,Nintendo,1996,3.51
donkey kong country 3: dixie kong's double trouble!,CHARACTER_IN,funky kong,SNES,1996,3.51
donkey kong 64,CHARACTER_IN,funky kong,N64,1999,5.27
picross np vol. 8,CHARACTER_IN,funky kong,SNES,2000,0.0
picross np vol. 8,CHARACTER_IN,funky kong,Nintendo,2000,0.0
donkey kong country 2,CHARACTER_IN,funky kong,GBA,2004,1.23
donkey konga 2,CHARACTER_IN,funky kong,GC,2004,0.39
dk: king of swing,CHARACTER_IN,funky kong,GBA,2005,0.0
donkey konga 3 jp,CHARACTER_IN,funky kong,GC,2005,0.0
donkey kong country 3,CHARACTER_IN,funky kong,GBA,2005,0.77
donkey kong barrel blast,CHARACTER_IN,funky kong,Wii,2007,1.24
dk: jungle climber,CHARACTER_IN,funky kong,DS,2007,0.0
super smash bros. brawl,CHARACTER_IN,funky kong,Wii,2008,0.0
mario kart wii,CHARACTER_IN,funky kong,Wii,2008,35.52
mario super sluggers,CHARACTER_IN,funky kong,Wii,2008,1.89
donkey kong country: tropical freeze,CHARACTER_IN,funky kong,WiiU,2014,1.52
donkey kong country: tropical freeze,CHARACTER_IN,funky kong,Switch,2018,1.52
super smash bros. for nintendo 3ds / wii u,CHARACTER_IN,funky kong,"nintendo 3ds, wii u",2014,0.0
super smash bros. for nintendo 3ds / wii u,CHARACTER_IN,funky kong,nintendo 3ds / wii u,2014,0.0
super smash bros. ultimate,CHARACTER_IN,funky kong,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,funky kong,Switch,2020,0.0
super smash bros. ultimate,CHARACTER_IN,funky kong,Switch,2019,0.0
mario kart tour,CHARACTER_IN,funky kong,Mobile,2019,0.0
super mario rpg: legend of the seven stars,CHARACTER_IN,ancient minister,Nintendo,1996,2.14
super mario rpg: legend of the seven stars,CHARACTER_IN,ancient minister,SNES,1996,2.14
"warioware, inc.: mega microgame$!",CHARACTER_IN,ancient minister,GBA,2003,0.0
warioware: twisted!,CHARACTER_IN,ancient minister,GBA,2004,0.0
warioware: twisted!,CHARACTER_IN,ancient minister,GBA,2005,0.0
warioware: twisted!,CHARACTER_IN,ancient minister,DS,2004,0.0
warioware: touched!,CHARACTER_IN,ancient minister,DS,2004,0.0
warioware: touched!,CHARACTER_IN,ancient minister,DS,2005,0.0
mario kart ds,CHARACTER_IN,ancient minister,DS,2005,23.21
warioware: smooth moves,CHARACTER_IN,ancient minister,Wii,2006,2.89
warioware: smooth moves,CHARACTER_IN,ancient minister,Wii,2007,2.89
super smash bros. brawl,CHARACTER_IN,ancient minister,Wii,2008,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,ancient minister,3DS,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,ancient minister,3DS,2015,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,ancient minister,WiiU,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,ancient minister,"nintendo 3ds, wii u",2014,0.0
super smash bros. for wii u,CHARACTER_IN,ancient minister,WiiU,2014,0.0
super smash bros. for wii u,CHARACTER_IN,ancient minister,WiiU,2015,0.0
super smash bros. for wii u,CHARACTER_IN,ancient minister,3DS,2014,0.0
super smash bros. for wii u,CHARACTER_IN,ancient minister,Wii,2014,0.0
super mario maker,CHARACTER_IN,ancient minister,WiiU,2015,3.21
super mario maker,CHARACTER_IN,ancient minister,WiiU,2016,3.21
warioware gold,CHARACTER_IN,ancient minister,3DS,2018,0.0
super smash bros. ultimate,CHARACTER_IN,ancient minister,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,ancient minister,Switch,2020,0.0
super smash bros. ultimate,CHARACTER_IN,ancient minister,Switch,2019,0.0
super mario rpg,CHARACTER_IN,ancient minister,Switch,2023,0.0
mario & luigi: partners in time,CHARACTER_IN,shroob,DS,2005,1.29
super smash bros. brawl,CHARACTER_IN,shroob,Wii,2008,0.0
mario & luigi: bowser's inside story,CHARACTER_IN,shroob,DS,2009,3.77
mario & luigi: dream team,CHARACTER_IN,shroob,3DS,2013,2.08
mario & luigi: superstar saga + bowser's minions,CHARACTER_IN,shroob,3DS,2017,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,CHARACTER_IN,shroob,3DS,2018,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,CHARACTER_IN,shroob,Switch,2018,0.0
mario & luigi: brothership,CHARACTER_IN,shroob,Switch,2024,0.0
yume kōjō: doki doki panic,CHARACTER_IN,wart,PC,1987,0.0
super mario bros. 2,CHARACTER_IN,wart,Nintendo,1988,7.46
super mario bros. 2,CHARACTER_IN,wart,NES,1988,7.46
the legend of zelda: link's awakening,CHARACTER_IN,wart,GB,1993,0.0
the legend of zelda: link's awakening,CHARACTER_IN,wart,Switch,2019,0.0
super mario all-stars,CHARACTER_IN,wart,Nintendo,1993,10.55
super mario all-stars,CHARACTER_IN,wart,SNES,1993,10.55
super mario all-stars + super mario world,CHARACTER_IN,wart,Nintendo,1994,0.0
super mario all-stars + super mario world,CHARACTER_IN,wart,SNES,1994,0.0
bs super mario usa,CHARACTER_IN,wart,Other Platform,1996,0.0
bs super mario usa,CHARACTER_IN,wart,Other Platform,1995,0.0
the legend of zelda: link's awakening dx,CHARACTER_IN,wart,GBC,1998,0.0
super mario advance,CHARACTER_IN,wart,GBA,2001,5.49
super mario all-stars limited edition,CHARACTER_IN,wart,Wii,2010,0.0
nes remix 2,CHARACTER_IN,wart,WiiU,2014,0.0
nes remix pack,CHARACTER_IN,wart,WiiU,2014,0.0
ultimate nes remix,CHARACTER_IN,wart,3DS,2014,0.0
ultimate nes remix,CHARACTER_IN,wart,WiiU,2014,0.0
paper mario: color splash,CHARACTER_IN,wart,WiiU,2016,0.42
super smash bros. ultimate,CHARACTER_IN,wart,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,wart,Switch,2020,0.0
super smash bros. ultimate,CHARACTER_IN,wart,Switch,2019,0.0
super mario maker 2 (version 3.0.0),CHARACTER_IN,wart,Switch,2020,0.0
game & watch: the legend of zelda,CHARACTER_IN,wart,Game & Watch,2021,0.0
nintendo world championships: nes edition,CHARACTER_IN,wart,Switch,2024,0.0
super mario bros. 3,CHARACTER_IN,larry koopa,Nintendo,1988,22.48
super mario bros. 3,CHARACTER_IN,larry koopa,Game & Watch,1990,22.48
super mario bros. 3,CHARACTER_IN,larry koopa,NES,1988,22.48
super mario world,CHARACTER_IN,larry koopa,Nintendo,1990,26.07
super mario world,CHARACTER_IN,larry koopa,Game & Watch,1991,26.07
super mario world,CHARACTER_IN,larry koopa,Arcade,1993,26.07
super mario world,CHARACTER_IN,larry koopa,SNES,1990,26.07
mario is missing!,CHARACTER_IN,larry koopa,PC,1992,0.0
mario is missing!,CHARACTER_IN,larry koopa,Nintendo,1992,0.0
mario is missing!,CHARACTER_IN,larry koopa,Nintendo,1993,0.0
mario is missing!,CHARACTER_IN,larry koopa,SNES,1993,0.0
mario is missing!,CHARACTER_IN,larry koopa,NES,1993,0.0
yoshi's safari,CHARACTER_IN,larry koopa,Nintendo,1993,0.0
yoshi's safari,CHARACTER_IN,larry koopa,SNES,1993,0.0
super mario all-stars,CHARACTER_IN,larry koopa,Nintendo,1993,10.55
super mario all-stars,CHARACTER_IN,larry koopa,SNES,1993,10.55
super mario all-stars + super mario world,CHARACTER_IN,larry koopa,Nintendo,1994,0.0
super mario all-stars + super mario world,CHARACTER_IN,larry koopa,SNES,1994,0.0
hotel mario,CHARACTER_IN,larry koopa,Philips CD-i,1994,0.0
super mario world: super mario advance 2,CHARACTER_IN,larry koopa,GBA,2001,0.0
super mario advance 4: super mario bros. 3,CHARACTER_IN,larry koopa,GBA,2003,0.0
mario & luigi: superstar saga,CHARACTER_IN,larry koopa,GBA,2003,2.17
new super mario bros. wii,CHARACTER_IN,larry koopa,Wii,2009,28.32
super mario all-stars limited edition,CHARACTER_IN,larry koopa,Wii,2010,0.0
new super mario bros. 2,CHARACTER_IN,larry koopa,3DS,2012,9.9
new super mario bros. u,CHARACTER_IN,larry koopa,WiiU,2012,5.22
new super luigi u,CHARACTER_IN,larry koopa,WiiU,2013,2.24
nes remix 2,CHARACTER_IN,larry koopa,WiiU,2014,0.0
nes remix pack,CHARACTER_IN,larry koopa,WiiU,2014,0.0
mario kart 8,CHARACTER_IN,larry koopa,WiiU,2014,14.18
mario kart 8,CHARACTER_IN,larry koopa,WiiU,2015,14.18
super smash bros. for nintendo 3ds,CHARACTER_IN,larry koopa,3DS,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,larry koopa,3DS,2015,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,larry koopa,WiiU,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,larry koopa,"nintendo 3ds, wii u",2014,0.0
ultimate nes remix,CHARACTER_IN,larry koopa,3DS,2014,0.0
ultimate nes remix,CHARACTER_IN,larry koopa,WiiU,2014,0.0
super smash bros. for wii u,CHARACTER_IN,larry koopa,WiiU,2014,0.0
super smash bros. for wii u,CHARACTER_IN,larry koopa,WiiU,2015,0.0
super smash bros. for wii u,CHARACTER_IN,larry koopa,3DS,2014,0.0
super smash bros. for wii u,CHARACTER_IN,larry koopa,Wii,2014,0.0
nintendo badge arcade,CHARACTER_IN,larry koopa,3DS,2014,0.0
puzzle & dragons: super mario bros. edition,CHARACTER_IN,larry koopa,3DS,2015,0.0
mario & luigi: paper jam,CHARACTER_IN,larry koopa,3DS,2015,0.76
mario & luigi: paper jam,CHARACTER_IN,larry koopa,3DS,2016,0.76
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,larry koopa,3DS,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,larry koopa,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,larry koopa,"nintendo 3ds, wii u",2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,larry koopa,"nintendo 3ds, arcade, wii u",2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,larry koopa,"nintendo 3ds, wii u, arcade",2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,larry koopa,"wii u, nintendo 3ds",2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,larry koopa,Arcade,2016,0.8700000000000001
minecraft: wii u edition,CHARACTER_IN,larry koopa,WiiU,2016,0.0
minecraft: wii u edition,CHARACTER_IN,larry koopa,WiiU,2015,0.0
paper mario: color splash,CHARACTER_IN,larry koopa,WiiU,2016,0.42
mario kart 8 deluxe,CHARACTER_IN,larry koopa,Switch,2017,0.0
minecraft: nintendo switch edition,CHARACTER_IN,larry koopa,Switch,2017,0.0
mario & luigi: superstar saga + bowser's minions,CHARACTER_IN,larry koopa,3DS,2017,0.0
minecraft: new nintendo 3ds edition,CHARACTER_IN,larry koopa,3DS,2018,0.0
minecraft: new nintendo 3ds edition,CHARACTER_IN,larry koopa,3DS,2017,0.0
minecraft: bedrock edition,CHARACTER_IN,larry koopa,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,larry koopa,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,larry koopa,Switch,2020,0.0
super smash bros. ultimate,CHARACTER_IN,larry koopa,Switch,2019,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,CHARACTER_IN,larry koopa,3DS,2018,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,CHARACTER_IN,larry koopa,Switch,2018,0.0
new super mario bros. u deluxe,CHARACTER_IN,larry koopa,Switch,2019,0.0
mario kart tour,CHARACTER_IN,larry koopa,Mobile,2019,0.0
mario & sonic at the olympic games tokyo 2020,CHARACTER_IN,larry koopa,Switch,2019,0.0
mario & sonic at the olympic games tokyo 2020,CHARACTER_IN,larry koopa,"nintendo switch, arcade",2019,0.0
dr. mario world,CHARACTER_IN,larry koopa,Mobile,2019,0.0
dr. mario world,CHARACTER_IN,larry koopa,Mobile,2021,0.0
super mario maker 2 (version 3.0.0),CHARACTER_IN,larry koopa,Switch,2020,0.0
mario kart live: home circuit,CHARACTER_IN,larry koopa,Switch,2020,0.0
nintendo world championships: nes edition,CHARACTER_IN,larry koopa,Switch,2024,0.0
mario & luigi: partners in time,CHARACTER_IN,baby peach,DS,2005,1.29
yoshi's island ds,CHARACTER_IN,baby peach,DS,2006,2.76
super smash bros. brawl,CHARACTER_IN,baby peach,Wii,2008,0.0
mario kart wii,CHARACTER_IN,baby peach,Wii,2008,35.52
mario super sluggers,CHARACTER_IN,baby peach,Wii,2008,1.89
mario tennis open,CHARACTER_IN,baby peach,3DS,2012,0.95
mario kart 8,CHARACTER_IN,baby peach,WiiU,2014,14.18
mario kart 8,CHARACTER_IN,baby peach,WiiU,2015,14.18
super smash bros. for nintendo 3ds,CHARACTER_IN,baby peach,3DS,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,baby peach,3DS,2015,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,baby peach,WiiU,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,baby peach,"nintendo 3ds, wii u",2014,0.0
mario kart arcade gp dx,CHARACTER_IN,baby peach,Arcade,2013,0.0
mario kart arcade gp dx,CHARACTER_IN,baby peach,Arcade,2017,0.0
mario kart arcade gp dx,CHARACTER_IN,baby peach,Arcade,2015,0.0
mario & luigi: paper jam,CHARACTER_IN,baby peach,3DS,2015,0.76
mario & luigi: paper jam,CHARACTER_IN,baby peach,3DS,2016,0.76
mario kart 8 deluxe,CHARACTER_IN,baby peach,Switch,2017,0.0
super smash bros. ultimate,CHARACTER_IN,baby peach,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,baby peach,Switch,2020,0.0
super smash bros. ultimate,CHARACTER_IN,baby peach,Switch,2019,0.0
dr. mario world,CHARACTER_IN,baby peach,Mobile,2019,0.0
dr. mario world,CHARACTER_IN,baby peach,Mobile,2021,0.0
mario kart tour,CHARACTER_IN,baby peach,Mobile,2019,0.0
warioware: touched!,CHARACTER_IN,ashley,DS,2004,0.0
warioware: touched!,CHARACTER_IN,ashley,DS,2005,0.0
warioware: smooth moves,CHARACTER_IN,ashley,Wii,2006,2.89
warioware: smooth moves,CHARACTER_IN,ashley,Wii,2007,2.89
super smash bros. brawl,CHARACTER_IN,ashley,Wii,2008,0.0
paper airplane chase,CHARACTER_IN,ashley,DS,2008,0.0
warioware: d.i.y.,CHARACTER_IN,ashley,DS,2009,0.0
game & wario,CHARACTER_IN,ashley,WiiU,2013,0.23
game & wario,CHARACTER_IN,ashley,Wii,2014,0.23
super smash bros. for nintendo 3ds,CHARACTER_IN,ashley,3DS,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,ashley,3DS,2015,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,ashley,WiiU,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,ashley,"nintendo 3ds, wii u",2014,0.0
super smash bros. for wii u,CHARACTER_IN,ashley,WiiU,2014,0.0
super smash bros. for wii u,CHARACTER_IN,ashley,WiiU,2015,0.0
super smash bros. for wii u,CHARACTER_IN,ashley,3DS,2014,0.0
super smash bros. for wii u,CHARACTER_IN,ashley,Wii,2014,0.0
rhythm heaven megamix,CHARACTER_IN,ashley,3DS,2015,0.0
daigassou! band brothers p,CHARACTER_IN,ashley,3DS,2015,0.0
super mario maker,CHARACTER_IN,ashley,WiiU,2015,3.21
super mario maker,CHARACTER_IN,ashley,WiiU,2016,3.21
warioware gold,CHARACTER_IN,ashley,3DS,2018,0.0
super smash bros. ultimate,CHARACTER_IN,ashley,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,ashley,Switch,2020,0.0
super smash bros. ultimate,CHARACTER_IN,ashley,Switch,2019,0.0
warioware: get it together!,CHARACTER_IN,ashley,Switch,2021,0.0
tetris 99,CHARACTER_IN,ashley,Switch,2021,0.0
tetris 99,CHARACTER_IN,ashley,Switch,2019,0.0
warioware: move it!,CHARACTER_IN,ashley,Switch,2023,0.0
super mario bros. 3,CHARACTER_IN,lemmy koopa,Nintendo,1988,22.48
super mario bros. 3,CHARACTER_IN,lemmy koopa,Game & Watch,1990,22.48
super mario bros. 3,CHARACTER_IN,lemmy koopa,NES,1988,22.48
super mario world,CHARACTER_IN,lemmy koopa,Nintendo,1990,26.07
super mario world,CHARACTER_IN,lemmy koopa,Game & Watch,1991,26.07
super mario world,CHARACTER_IN,lemmy koopa,Arcade,1993,26.07
super mario world,CHARACTER_IN,lemmy koopa,SNES,1990,26.07
mario is missing!,CHARACTER_IN,lemmy koopa,PC,1992,0.0
mario is missing!,CHARACTER_IN,lemmy koopa,Nintendo,1992,0.0
mario is missing!,CHARACTER_IN,lemmy koopa,Nintendo,1993,0.0
mario is missing!,CHARACTER_IN,lemmy koopa,SNES,1993,0.0
mario is missing!,CHARACTER_IN,lemmy koopa,NES,1993,0.0
yoshi's safari,CHARACTER_IN,lemmy koopa,Nintendo,1993,0.0
yoshi's safari,CHARACTER_IN,lemmy koopa,SNES,1993,0.0
super mario all-stars,CHARACTER_IN,lemmy koopa,Nintendo,1993,10.55
super mario all-stars,CHARACTER_IN,lemmy koopa,SNES,1993,10.55
super mario all-stars + super mario world,CHARACTER_IN,lemmy koopa,Nintendo,1994,0.0
super mario all-stars + super mario world,CHARACTER_IN,lemmy koopa,SNES,1994,0.0
hotel mario,CHARACTER_IN,lemmy koopa,Philips CD-i,1994,0.0
super mario world: super mario advance 2,CHARACTER_IN,lemmy koopa,GBA,2001,0.0
super mario advance 4: super mario bros. 3,CHARACTER_IN,lemmy koopa,GBA,2003,0.0
mario & luigi: superstar saga,CHARACTER_IN,lemmy koopa,GBA,2003,2.17
new super mario bros. wii,CHARACTER_IN,lemmy koopa,Wii,2009,28.32
super mario all-stars limited edition,CHARACTER_IN,lemmy koopa,Wii,2010,0.0
new super mario bros. 2,CHARACTER_IN,lemmy koopa,3DS,2012,9.9
new super mario bros. u,CHARACTER_IN,lemmy koopa,WiiU,2012,5.22
new super luigi u,CHARACTER_IN,lemmy koopa,WiiU,2013,2.24
mario kart 8,CHARACTER_IN,lemmy koopa,WiiU,2014,14.18
mario kart 8,CHARACTER_IN,lemmy koopa,WiiU,2015,14.18
super smash bros. for nintendo 3ds,CHARACTER_IN,lemmy koopa,3DS,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,lemmy koopa,3DS,2015,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,lemmy koopa,WiiU,2014,0.0
super smash bros. for nintendo 3ds,CHARACTER_IN,lemmy koopa,"nintendo 3ds, wii u",2014,0.0
super smash bros. for wii u,CHARACTER_IN,lemmy koopa,WiiU,2014,0.0
super smash bros. for wii u,CHARACTER_IN,lemmy koopa,WiiU,2015,0.0
super smash bros. for wii u,CHARACTER_IN,lemmy koopa,3DS,2014,0.0
super smash bros. for wii u,CHARACTER_IN,lemmy koopa,Wii,2014,0.0
nintendo badge arcade,CHARACTER_IN,lemmy koopa,3DS,2014,0.0
puzzle & dragons: super mario bros. edition,CHARACTER_IN,lemmy koopa,3DS,2015,0.0
mario & luigi: paper jam,CHARACTER_IN,lemmy koopa,3DS,2015,0.76
mario & luigi: paper jam,CHARACTER_IN,lemmy koopa,3DS,2016,0.76
minecraft: wii u edition,CHARACTER_IN,lemmy koopa,WiiU,2016,0.0
minecraft: wii u edition,CHARACTER_IN,lemmy koopa,WiiU,2015,0.0
paper mario: color splash,CHARACTER_IN,lemmy koopa,WiiU,2016,0.42
mario kart 8 deluxe,CHARACTER_IN,lemmy koopa,Switch,2017,0.0
minecraft: nintendo switch edition,CHARACTER_IN,lemmy koopa,Switch,2017,0.0
mario & luigi: superstar saga + bowser's minions,CHARACTER_IN,lemmy koopa,3DS,2017,0.0
minecraft: new nintendo 3ds edition,CHARACTER_IN,lemmy koopa,3DS,2018,0.0
minecraft: new nintendo 3ds edition,CHARACTER_IN,lemmy koopa,3DS,2017,0.0
minecraft: bedrock edition,CHARACTER_IN,lemmy koopa,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,lemmy koopa,Switch,2018,0.0
super smash bros. ultimate,CHARACTER_IN,lemmy koopa,Switch,2020,0.0
super smash bros. ultimate,CHARACTER_IN,lemmy koopa,Switch,2019,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,CHARACTER_IN,lemmy koopa,3DS,2018,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,CHARACTER_IN,lemmy koopa,Switch,2018,0.0
new super mario bros. u deluxe,CHARACTER_IN,lemmy koopa,Switch,2019,0.0
mario kart tour,CHARACTER_IN,lemmy koopa,Mobile,2019,0.0
super mario maker 2 (version 3.0.0),CHARACTER_IN,lemmy koopa,Switch,2020,0.0
dr. mario world,CHARACTER_IN,lemmy koopa,Mobile,2019,0.0
dr. mario world,CHARACTER_IN,lemmy koopa,Mobile,2021,0.0
mario kart live: home circuit,CHARACTER_IN,lemmy koopa,Switch,2020,0.0
